feature,importance,std
abundance_rel_median_110,0.0013045135103582168,0.015272442214150053
family_Desulfobacterales_median,0.0013032921349801579,0.014690608105708484
order_Actinobacteria_sum,0.0012970836142141523,0.013845050577246472
genus_Aerococcaceae_sum,0.0012949670517195695,0.015122201010281491
species_Prevotella_mean,0.0012949384490993886,0.013122391063743605
class_Actinobacteria_std,0.0012883249756123767,0.013514302678086693
species_Coprobacter_sum,0.001287931511589435,0.014319310882175177
species_Porphyromonas_sum,0.0012839572713408305,0.014159092323076746
genus_Coriobacteriaceae_median,0.0012769246720094895,0.014493295586522537
family_Lactobacillales_std,0.0012722281852934982,0.01321046103156823
family_Clostridiales_sum,0.001268770743340673,0.01419837786185077
abundance_104,0.0012681951239437363,0.01461841120198639
kingdom_Bacteria_sum,0.0012490721161554986,0.01267999668169278
species_Intestinibacter_sum,0.0012433056672798608,0.015133681749619241
species_Facklamia_sum,0.0012418413653667788,0.016236277259862368
genus_Fusobacteriaceae_median,0.0012321706722455818,0.014793431355546548
abundance_zscore_147,0.0012291673213743236,0.012311860887951626
abundance_rel_median_27,0.0012264243345372948,0.013395859389683774
berger_parker_family,0.0012262267716447969,0.01311565445230492
order_Epsilonproteobacteria_ratio,0.0012204826525360028,0.01219276539096443
class_Firmicutes_std,0.0012031619038366528,0.012232876275932215
abundance_44,0.0012001469911937575,0.013694570438651445
species_Facklamia_median,0.0011992760600364558,0.014446075889681788
top_3_abundance_species,0.0011989553838821633,0.014918560295527529
abundance_rel_median_144,0.0011988567885936456,0.012883770763258206
species_Intestinibacter_median,0.0011986056389603219,0.016544008970653216
family_Enterobacterales_sum,0.0011889868094399293,0.01414311171206644
abundance_rel_median_104,0.0011889017714984303,0.01531596153209014
abundance_rel_median_122,0.0011888968714402312,0.013966051079895592
family_Desulfobacterales_sum,0.0011874330605157436,0.013838807782820066
family_Eggerthellales_std,0.001181589133591019,0.013834833338376673
kingdom_Bacteria_std,0.0011782192209007685,0.012040699196392522
genus_Acidaminococcaceae_std,0.0011778125163365587,0.01388065090217554
species_Intestinibacter_ratio,0.0011774127884985385,0.014958199142197199
species_Unknown_mean,0.001173279430875202,0.013748540712552406
order_Coriobacteriia_std,0.0011695520672673895,0.012813323118780848
class_Actinobacteria_median,0.0011687278897339346,0.013479429183908598
abundance_rel_median_55,0.0011683536083729816,0.01254974571392474
abundance_100,0.001163827810750555,0.012951940909931601
species_Unknown_median,0.0011612381993810113,0.013590836598046772
genus_Sutterellaceae_ratio,0.0011607965111814684,0.012013990171702372
abundance_rel_median_103,0.0011589882267871781,0.012861928954170904
species_Phascolarctobacterium_sum,0.0011546472991418799,0.013548302171733839
order_Deltaproteobacteria_median,0.001148062639608203,0.014863473281839358
class_Proteobacteria_ratio,0.0011451935156877927,0.013671801263691948
family_Bacillales_sum,0.0011346103484890216,0.012416503074688329
abundance_rel_median_13,0.0011338024683063008,0.013714183635898559
abundance_27,0.001133463544085255,0.014491585192389978
species_Shuttleworthia_mean,0.0011269690299373822,0.013334460085984106
