166908	6.0
191038	1.0
299568	1.0
4430561	2.0
191412	1.0
194615	66.0
199228	2.0
922964	2.0
187689	19.0
186772	1.0
336710	4.0
329512	11.0
355120	664.0
193846	1.0
199555	1.0
201772	1.0
184320	4.0
312743	27.0
307761	8.0
329693	2.0
197442	3.0
583746	8.0
1084906	7.0
321295	3.0
194909	73.0
192437	2.0
518016	5.0
292289	8.0
198071	2.0
318396	4.0
541859	12.0
558839	76.0
294022	1.0
523782	259.0
302746	1.0
177637	1.0
563572	2.0
336785	5.0
190984	5.0
194831	10.0
190980	5.0
198577	9.0
179508	2.0
354334	21.0
528715	158.0
269327	45.0
365222	189.0
324163	1.0
309391	7.0
335644	5.0
527041	6.0
347226	3.0
197060	1.0
184656	1.0
185759	2.0
525215	20.0
196791	1.0
184670	1.0
322505	1.0
305247	11.0
529740	10.0
305329	2.0
350627	1.0
4470	1.0
310071	27.0
195270	19.0
196382	5.0
323786	3.0
362344	92.0
199677	1.0
338621	1.0
189828	1.0
199077	1.0
347639	2.0
1109844	118.0
345362	1.0
190361	4.0
199692	1.0
183703	3.0
197274	5.0
580295	4.0
192308	11.0
4322998	100.0
212481	14.0
102915	9.0
211907	2.0
355197	8.0
183145	1.0
186427	1.0
192676	1.0
294682	1.0
3221156	2.0
355750	1.0
190620	1.0
364109	302.0
318190	1.0
330193	5.0
512636	2.0
197233	1.0
290281	3.0
299302	7.0
193372	6.0
591635	38.0
9710	1.0
187265	33.0
269203	2.0
193484	2.0
197874	26.0
197307	1.0
336133	26.0
363348	61.0
185594	1.0
568118	153.0
4483963	2.0
1047041	34.0
299851	2.0
355307	40.0
176862	2.0
575844	13.0
177062	1.0
368203	22.0
359044	89.0
189708	1.0
353791	9.0
348358	8.0
530700	2.0
195719	3.0
645617	4.0
195120	10.0
197397	1.0
842596	34.0
189485	1.0
194129	2.0
319687	1.0
521851	12.0
69292	1.0
528652	245.0
528653	40.0
4355489	1.0
304108	2.0
174496	1.0
304106	1.0
191978	1.0
520712	10.0
183201	4.0
4377613	4.0
939112	23.0
322999	1.0
4383963	19.0
4452538	15.0
196848	2.0
328628	4.0
187882	17.0
184126	1.0
194151	1.0
523025	17.0
194626	1.0
325958	3.0
1767788	21.0
189235	1.0
578606	1.0
199761	12.0
1106254	1.0
197343	1.0
370338	126.0
188321	2.0
333896	4.0
193865	1.0
342827	43.0
300650	1.0
195093	13.0
307154	1.0
199716	14.0
345176	2.0
199490	1.0
577170	17.0
196713	1.0
513078	1.0
368127	6.0
195759	17.0
337080	14.0
188749	1.0
195619	2.0
179297	7.0
193975	1.0
513935	11.0
306499	48.0
183967	3.0
300978	3.0
178678	11.0
4298899	2.0
292921	15.0
332929	10.0
327149	1.0
191999	3.0
310301	2.0
195015	7.0
528606	10.0
819181	1.0
351880	3.0
214317	1.0
14583	1.0
356523	16.0
193763	3.0
287951	3.0
325910	2.0
326569	4.0
175754	1.0
179472	1.0
209595	31.0
336890	16.0
199681	1.0
530094	2.0
349963	12.0
197430	10.0
176014	2.0
357312	4.0
191112	8.0
338987	1.0
328717	1.0
299267	4.0
346738	95.0
846386	76.0
198625	27.0
985239	21.0
176401	9.0
272150	4.0
190516	18.0
909065	1.0
198814	1.0
183075	1.0
182600	2.0
158820	2.0
287032	28.0
358104	5.0
189248	4.0
187932	1.0
184465	1.0
197500	2.0
188706	11.0
191608	32.0
135911	2.0
187271	1.0
343812	1.0
335675	17.0
236094	1.0
923098	9.0
194686	16.0
4473295	18.0
195408	3.0
4301298	120.0
1139769	54.0
184850	1.0
363400	41.0
327218	2.0
316037	1.0
318079	29.0
546876	33.0
578016	2.0
4335928	88.0
531675	39.0
523768	3.0
361722	3.0
195646	1.0
1109362	14.0
332043	2.0
813617	4.0
364563	7.0
190938	2.0
844902	1.0
215670	2.0
530327	1.0
289261	2.0
332954	10.0
3530697	1.0
272742	2.0
198916	19.0
368264	56.0
342802	4.0
522595	76.0
187751	1.0
1111294	28.0
524444	12.0
158215	26.0
301184	5.0
581782	50.0
177055	1.0
369996	116.0
525378	4.0
192983	1.0
189971	1.0
182647	1.0
525458	23.0
513445	6.0
362767	70.0
444857	92.0
42256	6.0
194733	10.0
72112	54.0
199091	34.0
342380	3.0
359314	22.0
843785	39.0
739387	4.0
10175	2.0
279948	5.0
343503	4.0
633252	2.0
186256	1.0
197214	6.0
300136	769.0
187034	1.0
1135220	2.0
