feature,importance
ratio_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30_sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.0016833138201234948
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas,0.0016571394494410425
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__Litorimonas,0.0016517347726516367
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.0016494430015513613
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.00163354117597937
sk__Eukaryota;k__;p__;c__Pelagophyceae,0.0016253655865837986
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Limibacillus,0.0016219152819537473
sk__Bacteria;k__;p__Chloroflexi;c__Dehalococcoidia,0.0016185032703962398
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114,0.001614840077101453
ratio_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus,0.0016046106704581968
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter,0.0016002592430628749
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Marinoscillum,0.0015985407050723621
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Syndiniales,0.0015950309465306923
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Centropages,0.0015927579966361096
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales,0.0015791853150374008
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,0.0015715868507338814
sk__Eukaryota;k__;p__;c__Litostomatea;o__Cyclotrichida;f__Mesodiniidae;g__Myrionecta,0.0015697987640775086
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae,0.0015651719580220343
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae;g__Micromonas;s__Micromonas_pusilla,0.0015640953884000842
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Suessiales,0.0015640141691251053
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus_sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.0015625568291596805
sk__Eukaryota;k__;p__;c__Spirotrichea;o__Choreotrichida;f__Strobilidiidae;g__Rimostrombidium,0.0015606889491354148
