feature,importance,std
family_Coriobacteriales,0.006689985848913453,0.030331408910838523
genus_Barnesiellaceae,0.00667988240337301,0.0300000370726399
order_Betaproteobacteria,0.006654758250254358,0.031120684678914098
order_Bacilli,0.006652722313398231,0.0301578394000288
species_Prevotella,0.006519679790804764,0.029067355610333443
species_Casaltella,0.006394108170097104,0.02903135849951335
species_Peptostreptococcus,0.006346398175606078,0.030025643384820003
genus_Lactobacillaceae,0.006339642438027857,0.030352832032741764
order_Clostridia,0.006307165418219893,0.026693781418013436
species_Atopobium,0.006271766708589367,0.028557826584911662
species_Alistipes,0.0062357254234727275,0.02804015322790717
species_Butyricicoccus,0.006184072011753235,0.027874901452015134
genus_Peptoniphilaceae,0.006012912746772648,0.027360560532171105
genus_Ruminococcaceae,0.005983214905987387,0.025779528286915078
species_Romboutsia,0.005942703315520236,0.027738344571108457
genus_Defluviitaleaceae,0.005905252967821295,0.028373748742321122
genus_Halanaerobiaceae,0.00587422895414139,0.026102832557482556
order_Gammaproteobacteria,0.0058065769291425,0.026770138402156068
species_Parvimonas,0.005746261061139216,0.02703291845713472
family_Unknown,0.00568647491002557,0.02657357059970539
species_Gardnerella,0.00566752561025049,0.02641249404554853
genus_Fusobacteriaceae,0.005657321484579658,0.02767511431413271
order_Coriobacteriia,0.00564509896447585,0.026629052065236074
class_Verrucomicrobia,0.005634720863261598,0.02746554012069785
evenness_family,0.005620997863494705,0.025786518532359894
species_Solobacterium,0.0055699120482105915,0.024284490924574728
species_Ihubacter,0.005452686201154621,0.027779152847414373
richness_genus,0.00538895751924516,0.02460666679654668
class_Bacteroidetes,0.005348928844394024,0.023117256770614946
genus_Pasteurellaceae,0.0053158760881540715,0.025276720101898496
genus_Lachnospiraceae,0.005256683804038581,0.026313829831518913
genus_Enterobacteriaceae,0.005248490210766824,0.02427715667908249
richness_species,0.005232653323765075,0.02424523087545067
family_Enterobacterales,0.005216148177690678,0.026256819411378623
species_Acidaminococcus,0.005166051602378654,0.024796707803705253
genus_Unknown,0.005163122683133846,0.024235131156874774
genus_Bifidobacteriaceae,0.0051621431896525455,0.023893611073818124
species_Fusicatenibacter,0.00514436125378174,0.024658092687349396
shannon_diversity_order,0.0051375105807437114,0.02204882082053493
family_Micrococcales,0.005122888887573998,0.025766503231528595
species_Bifidobacterium,0.005091089089248945,0.0248818977115354
species_Anaerostipes,0.004902697914437169,0.023877199647491534
richness_family,0.004902519172483391,0.024228506672930264
family_Tissierellales,0.0048215224143057685,0.023293257950760544
species_Clostridium,0.00472485505918294,0.024019901242394736
genus_Clostridiaceae,0.004722989062678134,0.022988076521502795
order_Alphaproteobacteria,0.004630646004240146,0.022433411546646936
species_Tyzzerella,0.004618433699270353,0.02315264242110704
family_Campylobacterales,0.004590885035348004,0.022678797481828373
evenness_genus,0.004563885427038583,0.022280921058205557
species_Oscillibacter,0.004504676618544334,0.024324383590358708
family_Bifidobacteriales,0.004496794787822626,0.022728444472810947
species_Faecalibacterium,0.004383176783622066,0.02167311258280119
family_Actinomycetales,0.004374326047251884,0.02180748701184969
order_Epsilonproteobacteria,0.004364439110111833,0.02137559601985192
genus_Staphylococcaceae,0.0043407955293820405,0.022750916754163446
species_Gordonibacter,0.004321194397144455,0.021750800478537672
species_Facklamia,0.004304432210530476,0.023103110495831535
species_Ruminiclostridium,0.0042929271478025265,0.022307408225928638
family_Burkholderiales,0.004280561543287368,0.023485733767932174
species_Shuttleworthia,0.004275557560283717,0.02356655020814406
species_Lawsonella,0.004274129984240216,0.025182531309202828
species_Dorea,0.004164623450052769,0.02190294056956334
genus_Carnobacteriaceae,0.004080967859328005,0.021804572137678373
evenness_order,0.004072740956494294,0.02039050744574857
family_Acidaminococcales,0.00402803083592847,0.021707098418236558
class_Actinobacteria,0.0040251032289711445,0.020123462513805285
species_Finegoldia,0.0039966243839476105,0.021089140794550452
genus_Erysipelotrichaceae,0.003983937941430616,0.02206717313522094
species_Peptoniphilus,0.0039808647044019515,0.021525138207056548
species_Haemophilus,0.003966970874599471,0.020590917980938348
order_Verrucomicrobiae,0.003938978035599371,0.022065578196390795
species_Oscillospira,0.003931556829357359,0.020617611509487998
family_Rhizobiales,0.003923350458757265,0.02132375017648649
