sample_id	biosample	collection_date	environment_biome	environment_feature	environment_material	host_tax_id	host_scientific_name	geographic_location_(longitude)	geographic_location_(country_and/or_sea,region)	environment_(biome)	environment_(feature)	environment_(material)	altitude	depth	elevation	host_common_name	geographic_location_(latitude)	instrument_model
ERS339420	SAMEA2171480	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339421	SAMEA2171481	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339422	SAMEA2171482	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339423	SAMEA2171483	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339424	SAMEA2171484	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Giant anteater	43.6	unspecified
ERS339425	SAMEA2171485	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339426	SAMEA2171486	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339427	SAMEA2171487	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Aardvark	39.167	unspecified
ERS339428	SAMEA2171488	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339429	SAMEA2171489	2012-06-25	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339430	SAMEA2171490	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339431	SAMEA2171491	2012-04-08	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Choloepus didactylus	-117.07	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	72.0	Linnaeus two-toed Sloth	32.78	unspecified
ERS339432	SAMEA2171492	2012-06-24	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339433	SAMEA2171493	2009-01-02	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Zaedyus pichiy	-68.867	GAZ:Argentina	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2449.0	Pichi armadillo	-32.8	unspecified
ERS339434	SAMEA2171494	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Chaetophractus vellerosus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Screaming hairy armadillo	39.167	unspecified
ERS339435	SAMEA2171495	2008-06-11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Zaedyus pichiy	-68.867	GAZ:Argentina	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2449.0	Pichi armadillo	-32.8	unspecified
