OTU_ID	b'ERR328037'
b'179079'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Roseburia';b''	90.0
b'132108'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Oscillospiraceae';b'';b''	1.0
b'140212'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Oscillospiraceae';b'g__Oscillibacter';b''	13.0
b'11568'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Peptococcaceae';b'';b''	1.0
b'101179'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Peptococcaceae';b'g__Peptococcus';b''	8.0
b'140306'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Peptostreptococcaceae';b'g__Intestinibacter';b''	7.0
b'167925'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Peptostreptococcaceae';b'g__Romboutsia';b''	10.0
b'21407'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'';b''	1311.0
b'48485'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Anaerotruncus';b''	1.0
b'57078'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Faecalibacterium';b''	2113.0
b'93509'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Fournierella';b''	2.0
b'176042'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Negativibacillus';b''	20.0
b'109985'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Papillibacter';b''	1.0
b'171202'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Ruminiclostridium';b''	2.0
b'102515'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Ruminococcaceae';b'g__Subdoligranulum';b''	335.0
b'233382'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'';b'';b''	5.0
b'77393'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'';b''	109.0
b'80184'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'g__Allobaculum';b''	1.0
b'184279'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'g__Catenibacterium';b''	54.0
b'44566'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'g__Holdemanella';b''	252.0
b'259101'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'g__Solobacterium';b''	93.0
